Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region,Irrigation_Need
Clay,6.35,33.07,0.74,2.82,20.98,87.79,2127.28,9.8,7.22,Maize,Sowing,Rabi,Sprinkler,Groundwater,12.95,No,36.58,Central,Low
Loamy,6.4,47.75,0.55,3.42,15.83,64.86,1355.64,10.46,16.53,Wheat,Sowing,Rabi,Sprinkler,Groundwater,8.45,No,111.54,North,Low
Silt,7.2,44.14,0.63,3.03,39.53,60.55,686.83,5.24,7.05,Rice,Flowering,Rabi,Sprinkler,Rainwater,2.05,No,66.15,West,Medium
Silt,8.0,14.53,0.99,2.0,40.7,60.66,518.72,9.44,12.05,Rice,Harvest,Zaid,Drip,Reservoir,3.82,Yes,115.89,North,Medium
Silt,5.92,52.52,0.66,1.34,16.16,88.85,1222.81,7.41,13.78,Sugarcane,Vegetative,Zaid,Canal,Groundwater,8.98,Yes,117.55,Central,Low
Sandy,4.94,49.08,1.0,1.74,18.91,42.06,1268.01,5.8,14.78,Sugarcane,Vegetative,Zaid,Drip,Groundwater,14.56,No,66.08,East,Medium
Clay,6.49,45.38,1.22,2.96,29.76,73.65,1629.67,9.29,10.02,Sugarcane,Harvest,Rabi,Rainfed,Rainwater,0.54,No,76.59,Central,Low
Silt,6.65,16.84,1.25,3.0,16.52,41.98,2004.09,7.31,2.95,Cotton,Harvest,Kharif,Sprinkler,River,9.97,No,34.77,South,Low
Loamy,5.37,23.28,0.51,2.98,16.76,31.45,2336.25,10.3,18.06,Potato,Flowering,Rabi,Drip,Reservoir,11.56,Yes,81.5,West,Medium
Clay,7.39,30.41,1.28,2.13,22.1,91.76,1990.7,8.98,5.58,Rice,Sowing,Zaid,Rainfed,River,12.92,Yes,99.09,Central,Low
Loamy,8.15,23.96,1.17,1.72,40.48,34.08,2272.61,4.97,7.11,Cotton,Flowering,Zaid,Rainfed,Rainwater,14.23,Yes,34.32,South,Medium
Clay,8.02,20.99,0.32,1.16,40.87,73.03,1248.42,5.76,15.59,Sugarcane,Flowering,Kharif,Rainfed,Groundwater,1.86,Yes,108.58,South,Medium
Loamy,5.47,53.91,0.38,0.11,37.25,54.72,97.21,5.85,15.39,Wheat,Vegetative,Rabi,Drip,Rainwater,2.9,Yes,30.83,South,Medium
Sandy,7.78,44.38,1.14,2.7,32.87,83.6,129.58,6.41,17.98,Sugarcane,Vegetative,Kharif,Rainfed,River,2.1,Yes,78.28,Central,Medium
Silt,7.2,40.23,0.8,1.04,33.62,79.12,671.22,8.67,1.16,Wheat,Sowing,Rabi,Rainfed,Rainwater,13.06,Yes,113.26,North,Low
Loamy,6.34,20.88,0.49,1.22,26.09,35.06,1534.97,10.26,17.55,Rice,Sowing,Zaid,Drip,Groundwater,2.24,Yes,45.27,Central,Low
Clay,6.64,60.33,0.36,2.97,27.9,57.75,838.06,8.16,15.95,Maize,Flowering,Rabi,Canal,Rainwater,0.77,No,74.12,South,Medium
Silt,7.69,18.9,0.51,0.28,31.03,26.93,415.36,9.26,10.74,Maize,Harvest,Zaid,Canal,Rainwater,0.58,Yes,3.31,North,Medium
Silt,6.43,53.31,1.54,3.25,33.94,55.07,2126.24,6.22,3.61,Sugarcane,Flowering,Rabi,Drip,Rainwater,6.33,No,96.88,West,Medium
Clay,6.07,63.1,1.25,0.1,14.91,74.02,2462.49,7.66,11.13,Rice,Harvest,Zaid,Rainfed,River,9.31,No,52.51,South,Low
Loamy,6.48,49.44,0.99,3.29,18.75,41.25,41.6,7.53,4.28,Wheat,Sowing,Rabi,Sprinkler,Rainwater,3.65,Yes,89.69,East,Low
Sandy,6.77,64.59,1.52,1.65,40.89,81.7,223.56,8.91,19.32,Maize,Sowing,Zaid,Sprinkler,Groundwater,4.55,Yes,99.93,Central,Medium
Sandy,5.44,45.11,1.1,0.45,22.05,28.72,1248.35,7.63,14.32,Maize,Vegetative,Rabi,Canal,River,2.02,No,54.08,South,Medium
Loamy,7.86,20.4,1.24,2.39,20.05,27.42,844.17,6.34,12.13,Rice,Vegetative,Zaid,Sprinkler,Reservoir,7.07,Yes,85.28,West,Medium
Silt,7.09,19.62,0.67,3.15,24.66,26.92,1955.38,5.71,16.36,Wheat,Flowering,Rabi,Drip,River,7.64,Yes,56.95,Central,Medium
Silt,6.95,26.5,1.07,1.59,20.73,44.6,1635.76,5.78,10.88,Maize,Sowing,Rabi,Sprinkler,River,10.12,Yes,113.2,South,Low
Silt,5.14,8.41,0.49,2.45,14.74,57.7,171.28,10.87,1.68,Rice,Vegetative,Zaid,Rainfed,Groundwater,8.34,No,111.82,West,High
Silt,6.85,46.86,0.83,3.43,18.24,32.52,1362.21,6.5,5.55,Rice,Harvest,Rabi,Rainfed,Groundwater,4.25,No,76.01,North,Low
Loamy,5.21,23.31,0.34,0.92,31.2,94.77,841.33,9.65,19.64,Cotton,Sowing,Zaid,Sprinkler,Rainwater,13.22,No,103.19,South,Medium
Silt,5.07,54.47,0.58,2.89,18.7,94.97,2412.78,4.5,17.09,Potato,Harvest,Zaid,Canal,River,5.29,Yes,73.21,South,Low
Clay,6.59,28.47,0.4,1.1,31.43,61.39,1188.2,4.63,18.59,Rice,Flowering,Kharif,Canal,Groundwater,10.6,Yes,100.17,North,Medium
Silt,6.17,35.36,0.8,1.55,15.0,64.76,2319.16,8.8,2.41,Maize,Flowering,Rabi,Rainfed,Groundwater,10.78,Yes,25.35,North,Low
Sandy,6.8,63.04,1.4,1.06,13.26,89.88,75.44,7.2,5.34,Wheat,Vegetative,Rabi,Drip,River,1.92,No,58.89,North,Medium
Silt,5.1,21.8,0.79,1.62,37.85,78.89,258.19,10.16,1.73,Potato,Sowing,Zaid,Drip,Reservoir,8.13,No,28.47,North,Medium
Loamy,6.27,49.11,1.38,0.12,34.8,36.76,965.67,10.04,16.53,Rice,Harvest,Rabi,Sprinkler,Rainwater,6.42,Yes,109.88,Central,Low
Sandy,5.39,51.04,1.15,1.13,31.98,80.47,2217.39,9.29,3.89,Maize,Sowing,Rabi,Rainfed,Groundwater,13.23,Yes,81.4,North,Low
Loamy,8.16,20.6,0.96,1.61,12.93,41.17,1361.51,9.71,8.5,Potato,Vegetative,Rabi,Canal,Reservoir,6.08,No,102.82,North,Medium
Loamy,6.71,36.56,0.61,2.25,19.18,55.12,2060.35,10.09,5.76,Potato,Harvest,Rabi,Drip,Reservoir,1.96,Yes,0.09,East,Low
Sandy,7.14,27.96,1.5,2.27,36.37,62.28,708.82,9.49,18.64,Cotton,Vegetative,Zaid,Drip,Groundwater,13.22,No,61.81,West,Medium
Loamy,5.91,52.0,0.37,2.08,16.34,75.19,278.74,7.69,12.36,Wheat,Harvest,Zaid,Canal,River,13.43,No,33.83,West,Medium
Loamy,5.12,43.48,1.2,1.1,36.39,35.51,615.1,5.85,16.09,Sugarcane,Harvest,Zaid,Canal,River,10.97,No,97.99,Central,Low
Silt,8.12,35.13,1.11,3.32,29.53,30.33,1613.26,9.51,12.24,Sugarcane,Flowering,Kharif,Sprinkler,Groundwater,8.82,No,83.78,Central,Medium
Clay,5.77,52.42,0.87,1.43,34.21,85.63,2178.54,6.22,12.44,Potato,Flowering,Kharif,Canal,Reservoir,12.3,Yes,52.92,East,Medium
Loamy,6.24,21.4,0.61,0.84,31.34,82.88,1137.5,5.71,7.97,Rice,Sowing,Kharif,Sprinkler,Groundwater,2.59,Yes,81.09,North,Low
Loamy,7.01,50.96,0.86,1.99,24.51,61.63,484.04,5.2,5.16,Sugarcane,Sowing,Kharif,Sprinkler,Groundwater,10.27,No,70.87,North,Low
Loamy,4.88,57.33,1.43,2.65,20.76,71.37,1594.03,8.39,7.29,Wheat,Vegetative,Kharif,Drip,Reservoir,2.72,Yes,15.35,East,Low
Silt,7.55,58.08,1.39,0.14,32.18,75.35,492.33,5.7,6.25,Wheat,Flowering,Zaid,Sprinkler,River,11.51,No,95.58,North,Medium
Clay,6.62,52.67,1.52,1.04,36.21,58.36,1425.72,6.62,13.98,Maize,Flowering,Kharif,Rainfed,Reservoir,2.32,Yes,51.55,South,Medium
Sandy,5.75,31.26,0.7,2.9,13.34,43.01,255.73,8.96,8.74,Sugarcane,Vegetative,Kharif,Sprinkler,River,11.01,No,0.6,West,Medium
Silt,5.01,63.96,0.8,1.82,23.4,58.7,2027.84,9.56,11.23,Sugarcane,Harvest,Rabi,Drip,Reservoir,2.04,Yes,28.81,South,Low
Silt,5.35,29.64,0.32,1.49,22.52,91.56,2012.92,6.2,15.53,Potato,Harvest,Kharif,Sprinkler,River,11.9,Yes,24.31,East,Low
Clay,7.84,44.4,1.53,3.27,28.78,83.65,1353.14,9.9,5.7,Maize,Flowering,Zaid,Drip,Groundwater,2.62,No,78.6,Central,Low
Clay,7.13,17.18,0.73,0.4,15.42,57.59,95.46,4.41,8.76,Sugarcane,Sowing,Kharif,Rainfed,River,6.7,No,60.93,East,Medium
Silt,5.65,63.89,0.83,2.19,40.0,40.79,700.46,10.9,10.63,Sugarcane,Flowering,Rabi,Rainfed,Rainwater,13.03,No,88.88,West,Medium
Sandy,5.02,48.13,1.48,1.26,28.46,87.27,345.71,6.92,1.55,Wheat,Sowing,Zaid,Drip,River,11.16,No,60.23,East,Low
Silt,7.15,50.94,0.98,0.34,39.71,69.68,1308.64,6.27,3.47,Sugarcane,Sowing,Zaid,Rainfed,Rainwater,12.91,Yes,45.01,South,Low
Clay,6.75,11.75,1.04,0.83,36.51,53.33,254.34,10.47,1.74,Sugarcane,Flowering,Rabi,Rainfed,River,9.92,Yes,33.65,North,High
Sandy,6.18,51.51,0.53,2.23,17.75,32.82,2174.32,4.93,15.17,Sugarcane,Vegetative,Zaid,Sprinkler,Rainwater,5.92,No,93.91,South,Medium
Clay,6.04,52.16,0.95,0.2,15.97,77.62,2125.41,6.5,6.35,Cotton,Sowing,Zaid,Drip,River,5.41,No,21.46,West,Low
Sandy,5.54,46.29,1.49,2.11,37.84,47.19,390.25,6.51,8.74,Sugarcane,Sowing,Zaid,Canal,Groundwater,2.43,Yes,54.46,Central,Low
Loamy,7.08,24.64,1.03,3.35,28.08,67.44,1737.22,6.97,13.61,Cotton,Sowing,Rabi,Sprinkler,River,6.78,No,119.98,East,Medium
Clay,8.1,35.91,0.63,2.8,12.59,64.87,1741.26,9.94,19.35,Cotton,Sowing,Kharif,Canal,Groundwater,13.53,No,70.74,West,Low
Clay,5.4,14.29,0.34,1.28,40.03,73.97,991.89,9.95,16.32,Potato,Harvest,Rabi,Canal,River,11.6,No,22.0,East,Medium
Silt,6.83,34.88,0.74,0.57,26.19,62.63,382.5,8.14,1.63,Sugarcane,Vegetative,Zaid,Drip,Groundwater,0.84,No,26.68,West,Low
Clay,6.24,21.9,1.04,1.68,21.03,69.13,330.27,10.94,6.46,Maize,Vegetative,Rabi,Drip,Rainwater,3.11,Yes,84.71,East,Medium
Clay,6.32,27.9,0.36,1.44,27.5,30.71,1848.69,9.91,1.46,Sugarcane,Flowering,Rabi,Rainfed,Groundwater,10.08,Yes,32.47,South,Low
Loamy,5.66,17.27,1.09,3.4,36.69,71.57,550.44,8.77,1.7,Potato,Harvest,Kharif,Drip,Groundwater,3.53,Yes,5.36,North,Low
Clay,7.61,21.11,0.98,3.47,15.31,38.59,1508.63,5.4,2.99,Cotton,Sowing,Rabi,Rainfed,Reservoir,6.3,Yes,102.15,South,Low
Loamy,6.45,12.36,1.32,1.5,22.77,52.44,2164.7,7.85,6.76,Potato,Sowing,Kharif,Canal,Reservoir,13.86,Yes,25.63,South,Low
Loamy,6.65,60.43,0.34,0.61,21.57,60.88,1482.75,5.5,5.01,Potato,Sowing,Kharif,Canal,Groundwater,13.93,No,66.95,East,Low
Loamy,5.84,38.23,1.32,3.2,37.19,73.08,2434.91,6.11,7.37,Sugarcane,Sowing,Zaid,Sprinkler,Reservoir,4.17,Yes,25.05,Central,Low
Loamy,5.42,30.61,0.98,2.8,35.35,76.97,1613.75,8.8,16.53,Potato,Harvest,Kharif,Rainfed,Rainwater,8.88,Yes,10.23,West,Low
Sandy,5.09,38.5,0.78,1.84,24.0,74.34,786.51,5.29,16.05,Maize,Vegetative,Rabi,Drip,Groundwater,10.61,No,115.97,South,Medium
Silt,7.23,43.81,1.55,1.34,31.93,31.66,2131.17,4.64,7.34,Maize,Sowing,Rabi,Sprinkler,Groundwater,3.5,Yes,3.43,Central,Low
Sandy,5.47,60.55,0.51,1.62,23.83,52.08,777.28,7.72,13.37,Rice,Sowing,Kharif,Sprinkler,Groundwater,1.61,Yes,100.24,South,Low
Clay,7.15,18.19,1.0,3.17,29.14,44.65,2428.93,4.01,7.77,Wheat,Flowering,Kharif,Drip,River,5.12,No,112.4,South,Medium
Sandy,6.13,24.85,0.72,0.73,41.74,52.89,1194.33,8.26,8.03,Sugarcane,Harvest,Rabi,Sprinkler,Reservoir,14.38,Yes,60.47,South,Low
Sandy,6.21,63.62,0.99,2.84,28.07,70.28,2383.12,10.31,13.68,Rice,Vegetative,Rabi,Canal,Reservoir,12.65,No,20.46,Central,Medium
Clay,6.4,29.16,1.02,0.16,41.66,38.5,459.0,5.33,7.99,Rice,Flowering,Zaid,Drip,Reservoir,1.96,No,19.37,South,Medium
Clay,6.05,9.29,0.42,3.23,34.42,60.15,28.5,6.68,11.21,Rice,Vegetative,Kharif,Sprinkler,River,13.18,Yes,21.15,Central,High
Clay,5.14,16.42,1.16,1.8,15.62,86.94,490.33,10.41,2.75,Maize,Flowering,Kharif,Sprinkler,Reservoir,10.03,Yes,18.77,South,Medium
Sandy,5.85,9.5,1.12,0.87,35.88,76.18,245.92,8.93,11.01,Sugarcane,Sowing,Zaid,Canal,Rainwater,7.56,No,105.34,South,High
Sandy,7.06,64.43,1.3,0.11,16.84,75.78,1834.89,4.95,14.97,Sugarcane,Vegetative,Zaid,Canal,Groundwater,8.15,Yes,85.22,North,Low
Clay,7.06,23.9,0.42,2.0,27.97,84.41,661.36,6.67,17.82,Sugarcane,Vegetative,Zaid,Sprinkler,Groundwater,11.17,No,37.56,North,Medium
Silt,5.77,60.64,0.69,0.93,30.4,52.95,1598.69,9.29,3.37,Cotton,Vegetative,Kharif,Rainfed,Reservoir,7.67,No,8.68,East,Medium
Silt,6.36,64.77,1.15,2.25,38.77,78.16,1671.64,8.65,8.51,Wheat,Harvest,Kharif,Sprinkler,River,8.01,Yes,99.62,South,Low
Loamy,5.46,42.19,0.48,1.06,18.31,29.11,1720.61,5.09,9.98,Cotton,Vegetative,Rabi,Sprinkler,Groundwater,5.15,No,45.98,North,Low
Clay,5.52,9.89,1.18,0.4,38.28,28.95,2081.52,4.44,18.14,Maize,Sowing,Kharif,Rainfed,Rainwater,11.42,Yes,104.58,Central,Medium
Loamy,4.88,12.65,0.38,1.82,40.03,48.23,372.41,8.77,5.52,Rice,Sowing,Zaid,Sprinkler,Rainwater,5.16,Yes,37.67,Central,Low
Silt,7.85,35.45,0.74,2.02,14.68,38.78,126.16,8.26,3.73,Rice,Sowing,Rabi,Sprinkler,Groundwater,13.22,Yes,57.85,North,Low
Loamy,5.52,31.15,1.4,1.64,38.56,61.3,74.26,4.42,3.26,Cotton,Flowering,Kharif,Canal,Groundwater,11.54,No,22.21,North,Medium
Clay,5.57,42.55,1.31,1.66,19.78,37.82,259.48,10.82,3.52,Maize,Sowing,Kharif,Canal,Rainwater,7.38,No,39.36,East,Low
Clay,5.75,33.01,1.14,2.1,14.43,93.29,947.96,5.77,17.46,Wheat,Vegetative,Rabi,Rainfed,Reservoir,8.75,Yes,83.27,East,Low
Clay,5.23,61.24,1.43,1.89,40.76,84.58,2418.44,6.7,12.59,Potato,Sowing,Rabi,Sprinkler,River,14.17,Yes,70.09,North,Low
Sandy,6.97,38.48,1.22,0.55,23.77,93.78,883.06,5.24,8.7,Wheat,Sowing,Zaid,Canal,Rainwater,7.61,No,95.09,South,Low
Loamy,5.06,47.54,0.98,0.77,30.69,81.54,1132.31,9.8,17.4,Rice,Flowering,Kharif,Drip,Groundwater,11.68,No,11.21,East,Medium
Silt,5.26,59.1,1.57,0.58,28.59,91.58,2035.99,10.74,6.31,Rice,Vegetative,Zaid,Canal,Groundwater,3.03,Yes,118.79,Central,Low
Silt,6.99,16.37,1.2,2.46,18.4,50.77,2296.5,5.49,18.59,Sugarcane,Flowering,Kharif,Sprinkler,Rainwater,4.64,Yes,86.65,South,Medium
Silt,5.95,21.09,1.08,1.9,32.09,59.85,2428.6,5.98,15.3,Cotton,Sowing,Kharif,Sprinkler,Reservoir,2.21,No,3.85,West,Medium
Sandy,7.21,14.12,0.83,1.56,13.38,41.79,2066.13,8.95,0.9,Rice,Flowering,Rabi,Canal,Groundwater,5.96,No,36.02,North,Medium
Sandy,6.7,15.96,1.47,2.81,18.09,69.51,1256.29,7.7,9.52,Maize,Harvest,Kharif,Drip,Groundwater,13.98,Yes,24.59,South,Low
Clay,5.67,37.22,0.68,1.21,40.34,80.18,573.69,4.74,16.93,Wheat,Harvest,Kharif,Canal,Reservoir,1.16,No,44.66,East,Low
Silt,7.01,26.31,0.31,2.03,40.61,59.91,1495.92,10.5,8.22,Potato,Flowering,Zaid,Canal,Reservoir,11.13,Yes,118.65,West,Low
Sandy,5.2,32.12,0.56,0.35,26.48,45.75,491.99,8.28,19.75,Potato,Vegetative,Kharif,Drip,Groundwater,12.74,Yes,16.55,South,Low
Clay,6.62,64.0,0.44,2.63,17.07,60.54,139.31,6.11,17.01,Wheat,Vegetative,Rabi,Drip,Reservoir,8.01,Yes,102.23,East,Medium
Silt,6.29,16.93,0.71,2.46,24.65,29.4,2298.38,7.43,15.18,Potato,Vegetative,Zaid,Canal,Rainwater,10.86,No,110.84,West,Medium
Loamy,5.71,38.83,1.37,2.83,38.31,75.48,1211.98,7.5,3.14,Potato,Vegetative,Kharif,Drip,Rainwater,13.77,No,53.32,West,Medium
Clay,6.85,13.64,1.15,3.11,14.11,56.61,1270.6,7.68,2.6,Maize,Flowering,Kharif,Rainfed,River,9.56,Yes,61.43,Central,Medium
Sandy,7.76,26.15,0.52,2.68,15.84,87.88,1523.05,7.48,13.0,Wheat,Sowing,Kharif,Canal,River,13.81,Yes,51.56,West,Low
Sandy,8.2,38.07,1.33,2.97,38.87,89.63,1128.52,7.93,13.4,Cotton,Flowering,Zaid,Canal,Rainwater,4.11,Yes,51.28,West,Medium
Clay,6.87,61.96,0.96,1.28,24.46,33.79,1111.08,6.75,3.38,Potato,Vegetative,Zaid,Canal,Groundwater,0.57,Yes,115.48,South,Low
Clay,6.18,30.3,0.97,1.27,14.5,94.73,2287.86,5.02,17.15,Maize,Vegetative,Rabi,Rainfed,Groundwater,2.86,Yes,24.15,South,Low
Sandy,5.57,11.7,0.77,3.31,16.18,92.89,2041.37,8.65,17.54,Sugarcane,Vegetative,Kharif,Sprinkler,Groundwater,14.09,Yes,117.21,West,Medium
Loamy,5.67,30.13,1.42,3.21,38.47,68.9,531.48,9.55,8.62,Potato,Harvest,Rabi,Canal,Reservoir,7.41,Yes,100.99,North,Low
Silt,6.43,16.31,0.71,1.96,26.7,82.78,729.44,9.89,12.35,Potato,Vegetative,Kharif,Drip,Groundwater,7.16,No,83.83,East,Medium
Loamy,6.05,21.11,0.42,1.35,16.89,26.29,1651.56,4.15,10.46,Wheat,Flowering,Kharif,Rainfed,Rainwater,12.77,No,1.43,North,Medium
Clay,7.91,43.23,0.69,3.04,38.82,92.93,1427.73,6.83,1.2,Cotton,Flowering,Kharif,Rainfed,Rainwater,12.28,No,82.6,Central,Medium
Loamy,6.05,11.84,1.23,1.2,37.36,56.94,1915.4,10.85,2.26,Rice,Sowing,Kharif,Rainfed,River,6.98,Yes,23.61,North,Low
Sandy,6.07,34.49,1.15,0.62,12.69,88.68,1819.08,4.44,15.71,Potato,Harvest,Kharif,Rainfed,River,11.21,No,1.9,West,Low
Clay,6.1,42.74,0.54,2.27,29.43,51.96,1771.37,9.5,10.02,Maize,Vegetative,Rabi,Rainfed,Reservoir,7.78,No,118.34,Central,Medium
Silt,7.64,32.05,0.45,0.24,19.33,80.17,2200.54,4.88,12.41,Rice,Flowering,Zaid,Canal,Reservoir,5.16,Yes,109.7,North,Low
Sandy,7.01,9.09,1.16,1.39,27.99,54.26,1916.38,9.77,12.45,Sugarcane,Sowing,Rabi,Drip,Reservoir,6.56,No,51.63,West,Medium
Sandy,6.89,64.17,1.18,2.85,20.38,50.39,607.12,8.71,7.9,Rice,Sowing,Rabi,Canal,Reservoir,10.46,No,87.21,West,Low
Silt,5.94,28.93,0.78,1.1,21.48,91.27,2182.09,9.08,1.07,Wheat,Harvest,Rabi,Rainfed,River,4.16,Yes,110.25,South,Low
Silt,7.58,52.38,1.4,3.27,30.06,73.94,838.83,10.84,15.84,Wheat,Sowing,Rabi,Rainfed,Groundwater,2.7,No,28.65,South,Low
Loamy,4.93,26.56,1.57,3.35,28.17,83.81,2277.24,10.58,9.63,Wheat,Sowing,Kharif,Drip,Groundwater,3.9,No,111.64,Central,Low
Clay,7.76,35.08,0.57,2.87,23.86,63.04,2060.67,6.13,3.21,Wheat,Vegetative,Zaid,Rainfed,Reservoir,13.37,Yes,42.42,East,Low
Silt,6.54,30.14,1.05,3.46,15.23,89.28,185.21,6.63,0.91,Maize,Harvest,Kharif,Rainfed,Groundwater,9.3,No,87.98,West,Low
Silt,6.15,27.52,0.31,1.9,41.08,76.8,1928.2,6.85,0.84,Cotton,Sowing,Kharif,Drip,Groundwater,4.95,Yes,6.96,West,Low
Clay,6.49,9.25,1.23,2.04,17.24,30.05,1250.29,5.26,1.15,Wheat,Harvest,Zaid,Rainfed,River,9.27,No,46.72,West,Low
Silt,7.07,28.52,0.84,2.94,30.99,78.68,2442.78,6.67,3.52,Sugarcane,Vegetative,Kharif,Rainfed,River,12.73,Yes,56.58,Central,Low
Silt,4.84,58.7,0.55,1.78,14.48,26.31,1146.05,10.85,5.01,Sugarcane,Sowing,Rabi,Rainfed,Rainwater,6.22,No,2.65,North,Low
Loamy,7.76,47.35,1.28,1.48,32.65,83.03,167.52,7.43,5.32,Potato,Sowing,Kharif,Sprinkler,Rainwater,3.02,No,97.58,North,Medium
Sandy,6.32,16.29,1.35,2.19,14.85,48.23,732.84,10.67,12.83,Wheat,Flowering,Rabi,Rainfed,Reservoir,4.02,No,25.95,West,Medium
Sandy,5.97,41.7,0.44,2.34,18.89,66.88,1075.52,4.5,5.21,Cotton,Vegetative,Zaid,Drip,River,11.2,Yes,106.88,East,Low
Sandy,5.27,58.86,0.35,2.65,31.41,77.46,1479.79,4.27,13.64,Sugarcane,Vegetative,Rabi,Sprinkler,Reservoir,3.75,Yes,97.35,East,Medium
Sandy,6.29,47.9,0.73,2.37,20.49,69.59,380.26,8.03,16.56,Maize,Sowing,Kharif,Canal,Reservoir,4.76,Yes,92.11,South,Low
Silt,6.49,16.48,1.11,2.64,27.99,72.07,1287.71,9.15,8.0,Potato,Vegetative,Kharif,Sprinkler,River,13.79,No,82.62,North,Medium
Clay,6.17,57.47,1.33,2.39,15.74,87.49,1208.68,5.52,14.51,Cotton,Flowering,Rabi,Canal,Groundwater,9.26,No,51.68,West,Medium
Clay,7.11,25.19,1.01,1.73,18.07,51.18,2091.66,7.52,2.53,Potato,Sowing,Zaid,Sprinkler,River,1.92,No,6.14,East,Low
Loamy,6.23,33.88,1.05,0.56,34.01,63.3,756.01,10.11,6.89,Cotton,Flowering,Kharif,Drip,Groundwater,11.94,Yes,113.69,North,Low
Loamy,8.07,37.99,1.34,2.77,13.05,37.25,1123.79,9.33,13.81,Cotton,Harvest,Zaid,Drip,Rainwater,3.63,No,64.02,South,Low
Silt,6.84,56.48,0.99,0.2,15.35,57.73,971.53,5.62,18.67,Sugarcane,Sowing,Kharif,Rainfed,Reservoir,7.34,Yes,92.07,West,Low
Clay,7.55,61.1,1.09,3.47,18.45,35.5,1580.58,6.34,12.5,Maize,Harvest,Kharif,Rainfed,Reservoir,0.47,No,76.55,Central,Low
Clay,5.17,60.99,0.97,2.92,12.61,69.35,2090.47,6.14,7.59,Wheat,Vegetative,Zaid,Canal,Rainwater,14.37,Yes,101.63,West,Low
Sandy,6.15,8.45,1.44,2.38,14.86,47.7,1689.06,9.04,6.62,Potato,Sowing,Zaid,Drip,Reservoir,12.49,No,86.88,West,Low
Silt,5.95,60.55,0.61,3.39,20.44,85.13,1162.62,10.78,8.14,Sugarcane,Harvest,Zaid,Rainfed,Rainwater,14.77,Yes,43.62,North,Low
Silt,6.74,11.1,0.64,2.18,14.79,49.05,1594.57,5.96,13.23,Cotton,Sowing,Kharif,Canal,River,9.68,No,105.42,North,Medium
Sandy,7.73,23.15,0.47,0.29,37.98,45.08,805.61,8.12,6.88,Cotton,Harvest,Kharif,Drip,River,11.55,No,24.12,North,Medium
Silt,5.07,37.35,1.37,2.0,13.98,59.39,360.25,10.92,9.66,Cotton,Vegetative,Kharif,Drip,Reservoir,2.06,Yes,47.66,East,Low
Silt,5.05,35.36,0.84,1.04,37.83,37.27,799.29,5.1,15.3,Cotton,Harvest,Rabi,Sprinkler,Rainwater,5.56,No,56.88,South,Low
Loamy,7.69,42.47,0.75,1.36,36.69,39.27,1109.22,8.61,5.14,Sugarcane,Flowering,Kharif,Canal,Rainwater,5.3,Yes,114.8,North,Low
Clay,5.52,35.33,1.58,1.66,15.02,79.82,1098.16,6.32,14.47,Rice,Vegetative,Rabi,Drip,Rainwater,1.86,Yes,42.8,South,Low
Silt,7.07,61.26,1.5,2.73,12.76,59.81,1844.0,10.94,15.35,Rice,Sowing,Kharif,Sprinkler,Rainwater,5.29,Yes,60.31,North,Low
Loamy,6.65,21.71,1.56,1.81,13.5,39.44,2340.86,4.76,17.34,Sugarcane,Sowing,Rabi,Sprinkler,Reservoir,9.8,Yes,50.81,East,Low
Clay,7.63,23.62,0.48,1.71,29.71,27.21,972.4,7.16,0.97,Rice,Sowing,Kharif,Drip,Reservoir,3.2,Yes,95.12,South,Low
Sandy,5.23,60.48,1.46,1.13,32.11,57.65,216.12,5.78,2.72,Potato,Flowering,Rabi,Drip,Rainwater,4.46,Yes,5.45,East,Medium
Loamy,5.24,12.37,0.73,1.94,30.62,76.98,83.53,4.22,19.12,Sugarcane,Harvest,Rabi,Drip,Rainwater,5.09,Yes,64.82,Central,Medium
Loamy,6.69,42.74,0.32,0.94,28.24,49.58,9.88,10.75,2.95,Sugarcane,Harvest,Kharif,Drip,Reservoir,14.17,Yes,56.86,Central,Low
Clay,8.02,46.86,0.81,0.99,17.24,42.36,2345.25,7.98,10.01,Sugarcane,Vegetative,Zaid,Rainfed,Reservoir,11.8,No,54.43,East,Medium
Sandy,6.21,36.82,0.96,2.67,37.23,52.75,2489.08,8.91,3.76,Cotton,Vegetative,Kharif,Rainfed,Reservoir,2.24,Yes,64.32,South,Low
Loamy,5.91,47.57,0.44,1.26,21.83,92.14,128.46,8.34,16.33,Wheat,Vegetative,Zaid,Sprinkler,Groundwater,13.72,Yes,99.59,Central,Medium
Silt,6.86,17.85,1.0,0.27,41.59,54.62,895.52,5.04,2.38,Potato,Vegetative,Zaid,Rainfed,Reservoir,11.86,Yes,41.06,West,Medium
Silt,7.96,56.6,1.37,1.27,23.55,43.17,1673.36,5.19,2.17,Potato,Vegetative,Rabi,Sprinkler,River,6.42,Yes,56.75,Central,Low
Silt,7.65,15.98,0.79,2.27,19.89,64.85,447.36,8.39,10.34,Potato,Harvest,Zaid,Drip,Groundwater,3.95,Yes,106.69,South,Low
